,fiscal_year,emissions,ticker,EBITDA,EBT,total_revenues,industry,company_name,out_shares,average_price,last_price
85,2018,430396.27929997497,BRFS3,1607.303,-2228.651,30188.421,Food Products,BRF S.A.,811339645.0,24.23497959059112,21.93000030517578
86,2019,527404.511524975,BRFS3,3923.02,299.975,33446.98,Food Products,BRF S.A.,811759800.0,30.966518239936367,35.20000076293945
87,2013,163838.4902999284,EMBR3,1998.589,1428.428,13635.846,Aerospace and Defense,Embraer S.A.,1210143553.0,18.082661309549884,18.889999389648438
88,2014,143206.8910499649,EMBR3,1777.851,1279.114,14935.91,Aerospace and Defense,Embraer S.A.,1214030431.0,21.23306453612543,24.440000534057617
89,2015,140108.9004625548,EMBR3,2110.772,1572.889,20301.771,Aerospace and Defense,Embraer S.A.,1215780710.0,25.023658512084463,30.190000534057617
90,2016,134065.9946937957,EMBR3,1905.688,1068.461,21435.696,Aerospace and Defense,Embraer S.A.,1213798283.0,19.47152611912494,16.0
91,2017,53673.3459265817,EMBR3,2108.492,1376.441,18776.086,Aerospace and Defense,Embraer S.A.,1212151718.0,16.810750968842637,20.0
92,2018,42412.494140702984,EMBR3,-205.231,-786.201,7888.033,Aerospace and Defense,Embraer S.A.,1213623865.0,21.135469358794545,21.68000030517578
93,2019,44798.92425405293,EMBR3,572.729,-276.633,21802.075,Aerospace and Defense,Embraer S.A.,735919756.0,18.863967594347503,19.729999542236328
94,2020,34054.652,EMBR3,-516.611,-2962.192,19641.764,Aerospace and Defense,Embraer S.A.,736173106.0,9.94028341818435,8.850000381469727
95,2017,938230.9639000063,RAIL3,2782.675,-151.522,5946.349,Road and Rail,Rumo S.A.,1559015898.0,9.88693549940663,12.970000267028809
96,2018,959750.8872000213,RAIL3,3276.577,931.058,6584.936,Road and Rail,Rumo S.A.,1559015898.0,14.401714278240593,17.0
97,2019,953173.9903999787,RAIL3,3720.499,1258.388,7087.84,Road and Rail,Rumo S.A.,1559015898.0,21.073522266588714,26.100000381469727
98,2013,75008.4275507452,GFSA3,162.893,-55.254,2481.211,Household Durables,Gafisa S.A.,31518114.0,26.240929742013254,25.289325714111328
99,2014,67883.1126134726,GFSA3,178.724,154.876,1580.861,Household Durables,Gafisa S.A.,29479030.0,22.52216641364559,15.711666107177734
100,2015,49490.40602973389,GFSA3,168.986,125.994,1443.357,Household Durables,Gafisa S.A.,27255073.0,16.77337144448505,17.43349266052246
101,2017,14769.63616688853,GFSA3,-146.70049999999998,-373.615,854.6775,Household Durables,Gafisa S.A.,27067815.0,12.774812043182493,18.45635986328125
102,2018,19983.01699654806,GFSA3,-212.933,-330.227,960.891,Household Durables,Gafisa S.A.,45858522.0,11.802798333459972,15.244988441467285
103,2019,7116.158242921169,GFSA3,22.268,-56.54,400.465,Household Durables,Gafisa S.A.,116915232.0,7.280791983430685,8.670000076293945
104,2020,11698.947,GFSA3,-2.721,-82.526,884.045,Household Durables,Gafisa S.A.,300334531.0,5.132185249676106,4.349999904632568
105,2013,79572.1814750364,ITUB4,,26131.0,64517.0,Banks,Itaú Unibanco Holding S.A.,9899220604.0,15.584697600333921,16.0631103515625
106,2014,107557.74649993249,ITUB4,,32866.0,75856.0,Banks,Itaú Unibanco Holding S.A.,9938957258.0,18.382703523482046,19.0633602142334
107,2015,104489.26832498511,ITUB4,,23880.0,70676.0,Banks,Itaú Unibanco Holding S.A.,9817647185.0,18.27917706869482,15.957574844360352
108,2017,74807.91239988901,ITUB4,,35952.5,92312.0,Banks,Itaú Unibanco Holding S.A.,9694316976.0,26.389081046337218,28.38666534423828
109,2018,70419.075799953,ITUB4,,34307.0,94018.0,Banks,Itaú Unibanco Holding S.A.,9718136677.0,31.584815986789003,35.5
